,score,text
51,-3,We°Øve seen the terror of white supremacy & racist violence before. It's a moral issue - an affront to America. We must all stand against it
52,-2,Heartbreaking scenes in #Charlottesville. Violence and racism have no place in America.
53,3,Thanks @ddlovato for helping us celebrate diversity and showing the world what it means to have courage and heart! https://t.co/UXUoUsm5TA
54,2,An #accessibility breakthrough for people with hearing loss. Proud of our team's work with @CochlearUS https://t.co/YJguB6WC21 @WIRED
55,0,We are indebted to all who serve. Discrimination against anyone holds everyone back. #LetThemServe
56,4,A salute to the bright minds of our 2017 interns. Thank you for your contributions and enjoy the rest of the summer! https://t.co/vqRLDaBvgv
57,1,"????? Happy #WorldEmojiDay! ? We°Øve got some ? new ones to show you, coming later this year! ??°≠ https://t.co/SW4CBdYsoc"
58,0,Join me in celebrating National Parks today! Complete a 3.5 mile walk/run/roll workout with your Apple Watch and ea°≠ https://t.co/rrH4GLBBaQ
59,-2,Saddened by the tragic loss of life in Mississippi. Our prayers are with the families and all those who serve.
60,1,Wishing everyone a happy #Independence Day! ?? °∞Remember always that all of us ... are descended from immigrants and revolutionists.°± -FDR
61,1,Happy #CanadaDay to everyone celebrating! / Bonne #F®∫teDuCanada ®§ tous ceux qui c®¶l®®brent! ??
62,0,"@MichelGondry Here's D®¶tour, #shotoniphone by @MichelGondry, with English subtitles. https://t.co/AH91NdDEd6"
63,1,Love this new short film by @MichelGondry #shotoniphone. Vive le cin®¶ma fran?ais. ?? https://t.co/VsYyvgXljN
64,3,National Parks are some of my favorite places on earth. Proud to work with @GoParks on preserving these treasures! https://t.co/p98m6pSbs6
65,0,"Here's to the #iPhone that changed the world, to the man who dreamed it & the people at Apple who have never stoppe°≠ https://t.co/sEBaN4wK7C"
66,1,Celebrating Canadian optimism & diversity / C®¶l®¶brons l°Øoptimisme et la diversit®¶ du Canada ?? #shotoniphone https://t.co/h4IOsKniuG
67,0,Thanks @ChuckRobbins for hosting me today. Key features and security advancements for business in iOS 11 and throug°≠ https://t.co/tbUjXd3d29
68,2,Great to see you again @narendramodi. We°Øre inspired by your vision for India and excited about what we can achieve°≠ https://t.co/DeMsvDFy5F
69,1,"Happy #Pride2017 to all our employees, their families and customers around the world! Today we're showing°≠ https://t.co/qvNZQQANnz"
70,4,"Eid Mubarak to everyone celebrating around the world! Wishing you and your loved ones peace, joy and prosperity."
71,0,"Moving visit to the American Veterans Disabled for Life Monument. °∞In war, there are no unwounded soldiers.°± Thank°≠ https://t.co/LHjBqrz9gA"
72,-2,"Our hearts are with you, London. ?? °∞Hate, it has caused a lot of problems in the world, but has not solved one yet.°± -M. Angelou"
73,3,"To all the fathers I'm privileged to know and work with, and to dads everywhere, Happy #FathersDay!"
74,4,Enjoy your new iPad Pro @austinmann! We're thrilled with the feedback we're getting from creative pros and customer°≠ https://t.co/Vzib4FAjdc
75,0,Saddened by the terrifying events in Virginia. Our prayers are with all those affected. Such violence has no place in America - or anywhere.
76,0,"Here comes Apple Taipei 101, our first store in Taiwan! ”–ÈfÅÌ◊¯! https://t.co/hniIt9K3Xa"
